Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
SART2404,"Term 1 2019, Term 2 2019","Art & Design, Paddington",1,0,"SART2404 Printmaking - Etching offers studio-based instruction in a range of etching techniques. These include matrix development using hardground line, aquatint, lift ground, drypoint, collagraph and deep-etch methods as well as several printing strategies that include basic colour methods. You will undertake projects that investigate core thematic and technical issues relevant to contemporary art in print that will support you in the production of a self-directed practical project that builds on your research and understanding of the contemporary art print. 
This 2nd year introductory studio course is part of a four-course specialist Printmaking stream and may also be taken as an elective where places are available.",No Prerequisites,6 Units of Credit
SART2405,Term 3 2019,"Art & Design, Paddington",1,0,"SART2405 Printmaking: Relief Printing offers studio-based instruction in a range of relief printing and intaglio matrix based techniques. Participants will learn about the relief applications of linocut, woodcut, relief etching and collagraph based methods that work independently or in combination with other printing processes.      You will undertake projects that investigate core thematic and technical issues relevant to contemporary art in print that will support you in the production of a self-directed practical project that builds on your research and understanding of the contemporary art print. 
This 2nd year introductory studio course is offered as an elective. It can be taken on its own or  provides the preparation for more advanced printmaking study.",No Prerequisites,6 Units of Credit
SART2406,Term 1 2019,"Art & Design, Paddington",1,0,"SART2406 Printmaking: Lithography offers studio-based instruction in a range of lithographic skills from image development using crayon, tusche, photo transfer and black manner methods through to several printing strategies that work independently or in combination with other printing processes.  You will undertake projects that investigate core thematic and technical issues relevant to contemporary art in print that will support you in the production of a self-directed practical project that builds on your research and understanding of the contemporary art print. 
This 2nd year introductory studio course is offered as an elective. It can be taken on its own or  provides the preparation for more advanced printmaking study.",No Prerequisites,6 Units of Credit
SART2407,Term 1 2019,"Art & Design, Paddington",1,0,"SART2407 Printmaking: Screenprinting offers studio-based instruction in screenprinting techniques to create images using hand drawn, photo-generated and colour separation methods. You will be encouraged to experiment with printing strategies onto various papers and other substrates that could work independently or in combination with other printing methods.  You will undertake projects that investigate core thematic and technical issues relevant to contemporary art in print that will support you in the production of a self-directed practical project that builds on your research and understanding of the contemporary art print
This 2nd year introductory studio course is part of a four-course specialist Printmaking stream and may also be taken as an elective where places are available.",No Prerequisites,6 Units of Credit
SART2408,Term 1 2019,"Art & Design, Paddington",1,0,"This course introduces you to the value of fieldwork conducted outside the studio in urban and natural environments to enrich the content of your practice. In the process, you will build experiential and academic knowledge of the disciplines Sculpture, Performance and Installation Art and their interdisciplinary potential. The issues of identity, social engineering and indoctrination will be investigated in the urban environment. You will investigate environmental sustainability and our relationship to the natural environment and you will experiment with corporeal action, ephemeral processes, site specific installations and environmental interventions. Using your experiments and research skills in consultation with your lecturer and your peers, you will independently develop approaches to the representation of your ideas by fabricating a substantial body of artwork both in the studio and the natural environment. The principal aim is to build an integrated approach to art making supported by lectures, research, an intensive workshop, challenging project work and its critique. This 2nd Year course contributes to studies in the Sculpture, Performance and Installation stream.",No Prerequisites,6 Units of Credit
SART2409,Term 2 2019,"Art & Design, Paddington",1,0,"This studio based course, SPI: Visual Poetics, focuses on the sophisticated poetic languages deployed by artists to represent their ideas, such as heightened, immersive aesthetics, parodox, irony, metaphor, and symbolism. In response to projects that require the considered application of visual language, you are encouraged to investigate the temporal and corporeal, for example the body as site, sound and video installation,  as well as the spatial and sculptural, for example object sculpture, installation art, environmental art. The means of expression will be determined by you in relation to the conceptual premise of your ideas. The findings of  your experiments will be shared with your peers, and vice versa, to enhance your learning. Interdisciplinary practices, cross disciplinary quotation, image and text, inter active electronics, land art, object sculpture, urban intervention - nothing is out of bounds in the Sculpture, Performance and Installation (SPI) Studio. Research skills are enhanced in Talkfest, SPI's studio theory program, where you will investigate, in depth, a non-art topic that is driving your practice, such as scientific aspects of your environmental concerns, to demonstrate the benefits of interdisciplinary research to enrich the content of your practice. In seminars that share research, collaborative activities, and the on-going critical evaluation of art making in the studio you will contribute to building a community of scholarship and creativity in the Sculpture, Performance and Installation Studio, to support a trajectory to your self directed practice in Third Year and Honours.",No Prerequisites,6 Units of Credit
SART2410,Term 1 2019,"Art & Design, Paddington",1,0,"This studio based course, SPI: Mixed Methods, begins with an exploration of articulated space, form and materiality to explore corporeal movement in stasis. The aim is to capture a feeling of action in abstract form derived from a collaborative movement workshop.  Using the traditional skills of carving and sheet metal manipulation in innovative ways, you will create an artwork that heightens your ability to visualise form in three dimensions, then execute this specific form using the precision of plaster carving. You will acquire the ability to make plaster casts and be inducted in advanced woodwork skills to make imaginative artworks that address stimulating conceptual themes.  You will exhibit artworks fabricated in this course  in a formal exhibition venue along with documentation of ephemeral, time based artworks created on the Sculpture Camp, where the skills you have learnt in class may be applied to environmental, site specific artworks. This course has a strong emphasis on vocational skills, and relates to companion courses in the Sculpture, Performance and Installation Stream by providing practical skills in association with other Sculpture Performance and Installation Year 2 courses in preparation for studies in 3rd Year. Your participation in peer feedback and collaborative activities contributes to the community of scholarship and creativity in the SPI Studio.",No Prerequisites,6 Units of Credit
SART2411,Term 2 2019,"Art & Design, Paddington",1,0,"In this course, you will experiment with new methods of production, such as kinetic structures, digital technologies and their interface with innovative applications of traditional modes of production. The course encourages an integration of these technical fabrication skills with more informal approaches to studio production, such as the assemblage of manipulated found objects. You will research in depth your responses to a variety of interpretive project briefs that address the cross cultural and intrapersonal as well temporal phenomena, exploring improvisation, dynamic movement and action based art to expand your practice. The diversity of possible production methods and the conceptual content provides a diagnostic tool to determine the possible direction of your future practice. An active engagement in collaborative activities and discourse, rigorous feedback of work in progress, increases your ability to resolve your artworks' conceptual and perceptual coherence. This course relates to companion courses in the Sculpture Performance & Installation Stream by providing a mixed media skills base in association with other BFA Year 2 courses in preparation for studies in Year 3.",No Prerequisites,6 Units of Credit
SART2412,Term 1 2019,"Art & Design, Paddington",1,0,"Drawing: Materials and Construction invites you to explore various drawing methodologies as well as new and traditional processes of making drawing relating to contemporary aesthetics. The extension of drawing via concepts such as collage, assemblage, found object and new drawing mediums will be explored. With emphasis on the agency of drawing's immediacy and the physicality of materials, that is in context of how a drawing's content and form work together.
This course relates to companion courses in the drawing stream in that collectively they provide access to an ongoing studio experience. This drawing stream can also be done in association with other Year 2 courses in preparation for more advanced studies in Year 3.",No Prerequisites,6 Units of Credit
SART2413,Term 2 2019,"Art & Design, Paddington",1,0,"This is a studio based course that examines definitions and contexts related to the 'individual' through a series of practical projects. You will use drawing as an expressive medium to investigate figurative subjects in relation to culture, identity or technology. Your perception and representation of the individual in drawing practice will be actively challenged in response to such questions as, how do we understand the individual in a contemporary context?
This course relates to companion companion drawing courses that collectively provide access to an ongoing studio experience, and it is recommended that you will have undertaken other drawing courses before attempting this course.",No Prerequisites,6 Units of Credit
