Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
CHEM7119,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,1,"This course covers a range of important skills necessary for students entering a research career in Chemistry. Topics covered in the course include: occupational health and safety, database and library usage including use of current database searching tools, project planning and experimental design, report writing techniques, production of a research proposal, presentation skills, and use of chemistry-related software. Enrolment requires the approval of the School.",No Prerequisites,6 Units of Credit
CHEN6701,Term 3 2019,"Main Campus, Kensington",1,1,"This subject is geared towards senior undergraduate students with interests in the design and optimization of process reaction vessels in the chemicals/petrochemicals, biological/food as well as materials/minerals processing industries.  Topics covered include, analysis of complex industrial reaction kinetics, effect of micromixing on reactive systems, non-isothermal reactor design, nonlinear analysis in reaction systems, catalytic processes, multiphase (gas-liquid-solid) reactors for single and multiple reactions, strategies for reactor optimization and case studies in industrial process reactor design and operation.  The course is also suitable for Masters and PhD research students working in chemical, environmental and biological reaction engineering.",No Prerequisites,6 Units of Credit
CHEN6703,Term 2 2019,"Main Campus, Kensington",1,1,"The course covers lectures and demonstrations on: Particle characterisation and preparation using the latest techniques, floc characterisation and its relevance in separation techniques. There will also be relevant lectures on other aspects of separation technologies, theory and practice, novel applications to industry and environment management.",No Prerequisites,6 Units of Credit
CHEN6706,Term 1 2019,"Main Campus, Kensington",1,1,"This course presents a unified and advanced approach to the study of transport phenomena, which unifies the topics of mass, momentum and heat transport. Fundamental concepts and methods will include: methods for prediction of transport properties (viscosity, thermal conductivity and diffusivities); equations of change in 3-D for isothermal fluid flow, heat conduction, diffusivity, and finally the general case of simultaneous transport; dimensional analysis of the equations of transport and its use in scale up.
Applications of the basic equations to the study of forced and free convection, laminar flow, turbulent flow, heat conduction, diffusion and multi-component systems will be presented. Case studies will include: viscometers, transpiration cooling, free convection heat transfer, simultaneous heat and mass transfer, evaporative cooling, drying, mass transfer with chemical reaction, etc. Multidimensional and transient problems will be covered, as will those involving compressible flows, non-newtonian flows and turbulence modelling.
Most analysis nowadays involves the use of numerical software. Therefore, an introduction to the numerical solution of partial differential equations will be given, followed by the use of commercial numerical software such as COMSOL to solve practical problems.
Textbooks:
Bird, Stewart and Lightfoot, Transport Phenomena, 2nd Edition. John Wiley & Sons, New York 2002","Pre-requisites: CEIC2001, CEIC2002, MATH2019, CEIC3000",6 Units of Credit
CLIM0001,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
CLIM0002,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
CLIM1001,"Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,"Why do people disagree so much about climate change? How can you tell fact from fiction in the debate? How do we know climate change is happening and what are the causes? Climate change is now an issue confronting many disciplines, from architecture, engineering and business through to environmental science, public health, law and economics. This online course will draw on a broad collection of UNSW experts to cover the basics of climate change science, as well as a selection of key related areas from psychology, law, politics, economics, energy supply, ethics and health. A range of perspectives on the nature of these challenges will be treated with a critical analysis approach, as well hands-on engagement with the peer review process, highlighting its role in the scientific process. This course is an online-only offering. Take a look at our short introduction video",No Prerequisites,6 Units of Credit
CLIM2001,Term 1 2019,"Main Campus, Kensington",1,0,"This course covers the basic physical principles and processes which govern our atmosphere and its climate. First of all, this course provides an introduction and overview of our atmosphere, the main physical principles that govern its behaviour, and how to apply them to important questions about weather and climate. This shows students an important application of basic physics (and a bit of chemistry), and for Oceanography, Meteorology and Climate students this will provide a necessary foundation upon which later courses will build. For instance, you will learn about the ozone hole, the greenhouse effect, how to use charts to determine the likelihood of storms developing, why deserts occur at certain latitudes, and how to use the Bureau of Meteorology’s radar images on its website to track thunderstorms. This course will also train students in how to apply basic principles of physics and mathematics (including calculus) to real-world problems and situations. This skill will add value to the work you have already invested in learning those principles and will be relevant no matter what later path in life you take.",(PHYS1111 or PHYS1121 or PHYS1131 or PHYS1141 or PHYS1211) and (MATH1011 or MATH1031 or MATH1131 or MATH1141 or MATH1151),6 Units of Credit
CLIM3001,Term 2 2019,"Main Campus, Kensington",1,0,"Analysis of interactions in the climate system (atmosphere, ocean, biosphere, cryosphere), including the complex feedbacks between the Earth's carbon cycle, hydrological cycle, biosphere and key chemical species; observational approaches including uncertainties; statistical methods used to detect and understand environmental changes; modelling techniques including idealised models, process models and comprehensive state-of-the-art climate and Earth system models.",Prerequisite: CLIM2001 or PHYS2801 or GEOS2711 or MATH2241,6 Units of Credit
CODE1110,Term 1 2019,"Main Campus, Kensington",1,0,"'This course addresses architecture’s digital turn and introduces students to historical and contemporary discourses, theoretical concepts and ideas, and architectural projects that have engaged digital technologies and computational design thinking and methods from the late twentieth century onwards. Students will undertake verbal, visual, and written modes of analysis to develop knowledge and critically evaluate discourses and architectural projects relating to digital and computational design technologies. Students will employ a range of verbal and multimedia communication mediums and skills to demonstrate their knowledge and analysis.",No Prerequisites,6 Units of Credit
