Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
FOOD3020,Term 1 2019,"Main Campus, Kensington",1,0,"This is a laboratory based course introducing dairy, meat, fish, fruit, vegetables, beverages, eggs, sugars, cereals and lipids as food commodities. The need for preservation is demonstrated as physical, chemical and biological deterioration factors and water relationships. Technologies covered are heating, chilling, freezing, drying, brining, pickling, sugar, packaging (MAP and CAP), chemical preservatives and novel methods.
This is extended to structured inspections (field trip) of a variety of food processing establishments including food companies, production areas and food research institutes and stations within Sydney, NSW and interstate. The aim is to strengthen student understanding of the structure, practical operation and management of the local food industry and to demonstrate how theoretical concepts in food science and technology are applied in a commercial situation. The important linkage between the technical aspects of food production and commercial requirements of food companies will be explained. The field trip will take place prior to the start of the semester and both components of the course (field trip + laboratory) have to be completed as part of the course.","Pre-Requisites:FOOD1120,FOOD2320,CHEM2921",6 Units of Credit
FOOD3030,Term 2 2019,"Main Campus, Kensington",1,0,"This course presents a package of information and exercises designed to demonstrate the public health risk associated with the production and consumption of foods and the strategies adopted by industry, government and consumers to manage and control these risks. It introduces students to both the regulatory and technical aspects of quality assurance (QA) and quality control (QC) from the organisation-wide level, through the production environment to the analytical quality assurance/control laboratory. It provides theoretical concepts and practical experience in the design of quality systems, and exposes students to QA and QC approaches taken in food-producing organisations. Topics covered include:
concepts and specific safety issuesphysical, chemical and biological riskabsorption, distribution, storage and biotransformation of toxicants legislative framework for managing food safety by government, management of food safety and quality by industryfood quality systems including TQM, HACCP and ISO quality standardsnational and international regulation and issues, legal and insurance issuesconsumer concerns - education, social, moral and ethical issues","Prerequisites: FOOD2320, FOOD3010",6 Units of Credit
FOOD3220,Term 1 2019,"Main Campus, Kensington",1,0,"This course consists of a series of lectures and practical exercises that provide students with knowledge about the occurrence of nutrients in foods and their role in human physiology, health and disease.  Structure, properties and sources of nutrients; role of nutrients in human structure and function.  Introduction to food groups, tables of food composition, food labels, dietary recommendations; food guides; nutrition in health and disease; nutritional needs of vulnerable groups:  infants, pregnant and lactating women, the aged; dietary intolerance, disorders related to the affluent diet including coronary heart disease, dental caries, diabetes, hypertension and cancer; problems of undernutrition including protein, energy, mineral and vitamin deficiencies; physiological and nutritional aspects of dietary fibre, alcohol; assessment of nutritional status using dietary and anthropometric techniques; practical exercises on anthropometric techniques and measurement of nutrient intake using computer systems on an individual and group basis.",Prerequisite: BIOC2181 or BIOC2101,6 Units of Credit
FOOD3801,Term 2 2019,"Main Campus, Kensington",1,0,"The principles introduced in FOOD1360 and FOOD1370 are used in studying some of the more important unit operations in the food industry.  The procedure used for each unit operation is to firstly describe the process, its applications, effects on the food product and requirements, appropriate process diagrams, mass and heat balances and flows, solving unit operation problems.  Unit operations covered are refrigeration, dehydration, evaporation, extrusion, physical separation and comminution.","Prerequisite: FOOD1360, FOOD3010",6 Units of Credit
FOOD4110,Term 3 2019,"Main Campus, Kensington",1,0,"This course provides students with a knowledge base of core food chemistry topics, with an emphasis on chemical changes during processing and storage. The key topics covered include food enzymology, food proteins, food colloids, food additives, food aromas and flavours, food colorants, functional foods and bioactives. Analytical techniques used to assess these components and associated chemical reactions will also be presented.",Prerequisite: CHEM2921,6 Units of Credit
FOOD4403,Term 2 2019,"Main Campus, Kensington",1,0,"This course consists of lecture and discussion classes that build on the basic concepts of nutrition with respect to the food supply, giving advanced treatment of the following topics.  Food and nutrition policy:  structure of the population; food supplies, food consumption, nutritional epidemiology; population dietary references; food programs such as food fortification, supplementary feeding schemes, nutritional rehabilitation, nutritionally modified foods, nutritional regulations and standards, nutrition education, dietary and nutrition interventions (ORT, family planning, infection control, growth monitoring); principles, practice and evaluation of applied nutrition programs; advanced assessment methods in nutrition:  nutrient bioavailability studies, nitrogen balance tests, vitamin load tests, sodium and potassium excretion, creatinine excretion, fitness assessment, biochemical assessment, design and evaluation of nutritional epidemiology studies, food intake studies.",Prerequisite: BIOC2181 or BIOC2101,6 Units of Credit
FOOD8010,Term 1 2019,"Main Campus, Kensington",0,1,"The basis of food science is presented in a series of lectures covering traditional and novel methods of preserving foods for distribution and storage. Food commodities are introduced in groups, including dairy, meat, fish, fruit, vegetables, beverages, eggs, sugars, cereals and lipids. The need for preservation is discussed, including physical, chemical and biological deterioration factors and water relationships. Technologies covered are heating, chilling, freezing, drying, brining, pickling, sugar, radiation, packaging (MAP and CAP), chemical preservatives and novel methods.",No Prerequisites,6 Units of Credit
FOOD8020,Term 1 2019,"Main Campus, Kensington",0,1,"This is a laboratory based course introducing dairy, meat, fish, fruit, vegetables, beverages, eggs, sugars, cereals and lipids as food commodities. The need for preservation is demonstrated as physical, chemical and biological deterioration factors and water relationships. Technologies covered are heating, chilling, freezing, drying, brining, pickling, sugar, packaging (MAP and CAP), chemical preservatives and novel methods.",No Prerequisites,6 Units of Credit
FOOD8030,Term 2 2019,"Main Campus, Kensington",0,1,"This course presents a package of information and exercises designed to demonstrate the public health risk associated with the production and consumption of foods and the strategies adopted by industry, government and consumers to manage and control these risks. It introduces students to both the regulatory and technical aspects of quality assurance (QA) and quality control (QC) from the organisation-wide level, through the production environment to the analytical quality assurance/control laboratory. It provides theoretical concepts and practical experience in the design of quality systems, and exposes students to QA and QC approaches taken in food-producing organisations. Topics covered include: concepts and specific safety issues, physical, chemical and biological risks, legislative framework for managing food safety by government, management of food safety and quality by industry, food quality systems including TQM, HACCP and ISO quality standards, national and international regulation and issues, legal and insurance issues, consumer concerns - education, social, moral and ethical issues.",No Prerequisites,6 Units of Credit
FOOD8110,Term 3 2019,"Main Campus, Kensington",0,1,"This course provides students with a knowledge base of core food chemistry topics, with an emphasis on chemical changes during processing and storage. The key topics covered include food enzymology, food proteins, food colloids, food additives, food aromas and flavours, food colorants, functional foods and bioactives. Analytical techniques used to assess these components and associated chemical reactions will also be presented.",No Prerequisites,6 Units of Credit
