Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
ARTS4266,Term 1 2019,"Main Campus, Kensington",1,0,"This is a compulsory course for Social Sciences honours students in the School of Social Sciences. It will introduce you to the practice of thesis writing and support you in the early stages of developing your honours argument. This course includes topics such as: using library resources for honours students including research consultation and access to databases; the role of methods in research and the use of theory in framing and conducting a research project in the social sciences; your ethical responsibilities as a researcher; and planning and managing a research project; working effectively with your supervisor; time and data management skills. The course introduces you to the idea of framing your research as an intervention in a disciplinary debate (or series of debates). A particular focus of the course is introducing students to the thesis form. This includes learning about the component parts of a minor-thesis, and thinking about how you might construct your own thesis, for maximum impact.","Prerequisite: Enrolment in  a School of Social Sciences, Asian Studies or European Studies honours program",6 Units of Credit
ARTS4268,"Term 1 2019, Term 2 2019","Main Campus, Kensington",1,0,"Note: This is a 12 UOC course. You will enrol in 6 UOC in each of two successive terms with a result reported by a single grade at the end of the second 6 UOC course.
This is a core course for Honours students in the School of Social Sciences preparing students for the conduct of research and the writing of an honours thesis. Topics include using library resources for Honours students including research consultation and access to databases; structuring and writing a thesis, gaining ethics approval for collecting data; constructing a conceptual framework for a thesis; researching and writing literature reviews; the role of theory in research and the use of theory in framing and conducting a research project in the social sciences; epistemological frameworks in the social sciences; the role of a supervisor in undertaking an honours thesis including responsibilities of supervisor and student; planning and managing a research project; formal requirements for the thesis structure and presentation.","Prerequisite: Enrolment in  a School of Social Sciences, Asian Studies or European Studies honours program",6 Units of Credit
ARTS4600,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 6 UOC thesis/practical project in Dance Studies to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the Dance Studies honours program,6 Units of Credit
ARTS4601,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 12 UOC thesis/practical project in Dance Studies to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the Dance Studies honours program,12 Units of Credit
ARTS4602,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,An 18 UOC thesis/practical project in Dance Studies to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the Dance Studies honours program,18 Units of Credit
ARTS4603,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 24 UOC thesis/practical project in Dance Studies to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the Dance Studies honours program,24 Units of Credit
ARTS4604,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 6 UOC thesis/practical project in English to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the English honours program,6 Units of Credit
ARTS4605,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 12 UOC thesis/practical project in English to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the English honours program,12 Units of Credit
ARTS4606,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,An 18 UOC thesis/practical project in English to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the English honours program,18 Units of Credit
ARTS4607,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",1,0,A 24 UOC thesis/practical project in English to be completed as part of the 30 UOC of thesis/practical project component in the Honours Program. Students are also required to complete 18 UOC of coursework.,Prerequisite: Enrolment in the English honours program,24 Units of Credit
