Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
MATS6001,Term 1 2019,"Main Campus, Kensington",0,1,"This first section of this course includes an introduction to processing of inorganic materials, semiconductor processing, single crystal growth of Si, GaAs, carbon-based material, thin film processing (physical and chemical vapour deposition), sputtering and pulse laser deposition method advanced nanostructures such as nanoparticles, nanowires, nanotubes, wet chemical methods, electro-less and electrochemical methods. In addition, this course will cover sustainable materials processing- waste plastic, electronics waste processing and sustainable iron and Steel making.
Course material covered in the second section includes secondary metals processing such as fixed and continuous casting processes including sand-box casting, investment casting, die-casting, slab and twin-roll strip-casting; metal billet and sheet rolling; tube and bar extrusion; forging techniques; Powder consolidation techniques including hot isostatic pressing and spark plasma sintering; Soldering, Brazing and Welding, Subtractive manufacturing including multi-axis milling, machining, grinding and spark erosion; Additive manufacturing including typical 3D printing techniques such as extrusion melting, selective laser melting/sintering, e-beam melting and droplet ejection.",No Prerequisites,6 Units of Credit
MATS6002,Term 3 2019,"Main Campus, Kensington",0,1,"This course covers a background on the relationship between materials structure and properties and hence the application of advanced engineering materials; including the elastic moduli, yield strength, tensile strength, hardness and ductility, fast fracture, toughness and fatigue, creep deformation and fracture, oxidation and corrosion, friction, abrasion and wear of materials.",No Prerequisites,6 Units of Credit
MATS6003,Term 1 2019,"Main Campus, Kensington",0,1,"This course covers selected topics in presentation skills including public speaking, presentation techniques, visual aids, library skills, resume and cover letter writing skills, web design and the use of the persuasive media. This will provide students will skills that will assist in the development of their professional skills.",No Prerequisites,6 Units of Credit
MATS6004,Term 2 2019,"Main Campus, Kensington",0,1,"This course covers selected topics in management skills for the materials industry. Students will understand the basic elements of management including project planning, financial tools, strategic analysis and professional ethics.",No Prerequisites,6 Units of Credit
MATS6101,Term 2 2019,"Main Campus, Kensington",0,1,"Fundamentals of thermodynamics (thermodynamics basics; heat, work, and internal energy; heat capacity; enthalpy, entropy, and free energy; three laws of thermodynamics; redox processes).Equilibrium and gas-solid phase transitions (chemical equilibrium, first- and second-order phase transitions, fugacity and activity, gas-solid equilibria, Ellingham diagrams).Solution thermodynamics and phase diagram construction (Gibbs-Duhem equation. Raoult's and Henry's laws. Solutions and activity and phase diagram construction).Interpretation and applications of binary and ternary phase diagrams (unary systems, binary systems, ternary effects on microstructures, phase calculations, drawing isothermal and vertical sections of real ternary systems).",No Prerequisites,6 Units of Credit
MATS6102,Term 3 2019,"Main Campus, Kensington",0,1,"This course covers a background on the relationship between kinetics, diffusion, phase transformations and the prediction of materials microstructure. Students will understand how to predict materials structure based on the principles of phase transformations and apply this knowledge to commercial alloys.
Kinetics - Reaction rate definition, the rate law, rate constant and order. Experimental determination of the rate law: the method of initial rates, methods using integrated rate equations for 1st order and 2nd order reactions; rate constants, half-life. Effect of temperature on reaction rates: the Arrhenius equation, activation energy and frequency factor. Elementary reactions, mechanism, rate-determining step; in relation to the rate law.  Complex reactions: opposing, consecutive and parallel reactions; catalysis and catalysts; enzyme catalysis, Michaelis-Menten mechanisms, molecular reaction kinetics and collision theory.
Diffusion Fundamentals - Introduction to diffusion in gasses, liquids, membrane transport, facilitated diffusion, osmosis, diffusion in solids and thin films, Fick’s first and second laws and other factors affecting diffusion. 
Diffusion case studies – We will see how the fundamentals of diffusion learnt in weeks 1-5 can be applied to solve real problems encountered for various materials processing phenomena. Based on such case studies an appreciation of the complexities of applying diffusion laws will be learnt. Finally, students will analyse a different set of topics of how the principles of Diffusion and Kinetics learnt in weeks 1-5 can be applied for their research paper.",No Prerequisites,6 Units of Credit
MATS6104,Term 1 2019,"Main Campus, Kensington",0,1,"The course will give an overview of modern research topics in material physics with the purpose of encouraging students to engage in the latest research. The focus will be on introducing a simple physical model with just enough mathematical formalism to explain the physics in complex materials. In the first two parts of the course, the fundamentals of modern electronic structure theory and electrical conductions in solids will be introduced. In the third part of the course, some fundamental excitation processes will be discussed, including phonons and optical properties of materials. Non-covalent interactions, which plays an important role in determining the stabilities of low-dimensional and molecular materials, will be discussed, particularly their deep root to the electronic structures of materials. Finally, students will have a chance to gain knowledge on the latest researches in understanding structure-property relationships in complex materials with computation modellings using techniques such as machine-learnings. Stronger focus geared towards research at postgraduate level are incorporated into the second half of the course, and students will be giving group presentations to discuss specific topics on the latest research in physical properties of materials.",No Prerequisites,6 Units of Credit
MATS6105,Term 3 2019,"Main Campus, Kensington",0,1,"This course covers the chemical properties of materials, especially corrosion and oxidation. Focus is placed on strategies to prevent the corrosion and oxidation of engineering materials. Students will understand the practical consequences of corrosion and oxidation and the role of materials selection and design in reducing these phenomena.",No Prerequisites,6 Units of Credit
MATS6106,Term 1 2019,"Main Campus, Kensington",0,1,"Crystallography revision. Theoretical strength; slip; twinning; deformation of single and polycrystals; dislocation multiplication; cross slip; climb; dislocation interactions. Strain-strain curves of different metal crystals. Theories of the yield point and flow stress. Temperature dependence of flow stress, high-temperature deformation and creep. Advanced theories on strengthening mechanisms of metals.  Superalloys and composite materials to be taught illustrating some of the principles involved.",No Prerequisites,6 Units of Credit
MATS6107,Term 1 2019,"Main Campus, Kensington",0,1,"This course covers the thermal properties of materials, especially high temperatures ceramic materials. Emphasis is placed on enhancing the thermal stability, toughness and strength of these materials.  Processing methods used to manufacture these materials will also be studied.",No Prerequisites,6 Units of Credit
