Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
ECON5316,Term 2 2019,"Main Campus, Kensington",0,1,"The course provides a theoretical analysis of international trade topics with references to empirical evidence. Students will learn the main empirical patterns of current international trade and how to access sources of this information. They will become familiar with the concept of comparative advantage, and study models showing how technological differences, differences in resource endowments, and economies of scale determine trade patterns and income distribution. The effects of various trade policy instruments on welfare will be analysed. The course touches upon currently relevant issues such as offshoring, export subsidies in agriculture and high-technology industries, and international trade agreements. Students will acquire the problem-solving skills necessary to analyse these and similar matters.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5319,Term 3 2019,"Main Campus, Kensington",0,1,"The economy can be understood in many different ways. The course examines alternative paradigms in economics, and considers how they analyse the economy. This enables different interpretations of recent events. We will consider various schools of thought such as the Post-Keynesians, Institutionalists, Marxist or Austrians schools. Topics include how prices are determined, labour markets, money and finance with a strong emphasis on economic policy.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5321,Term 1 2019,"Main Campus, Kensington",0,1,"This course aims to equip students with the knowledge and skills necessary to tackle many of the complex strategic decisions facing modern managers. Topics to be covered include a selection from optimal pricing strategies in the context of complements, durable goods, and price discrimination; strategic competition over prices, product characteristics and capacity; and the role of networks and platforms in modern economies; the theory of bargaining and auctions; and personnel economics.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5323,Term 3 2019,"Main Campus, Kensington",0,1,"This course studies the internal organisation of firms and other organisations. It provides a rigorous introduction to foundational theories, and then discusses applications to real-world managerial problems. How should incentives be designed in organisations? How should conflict within an organisation be resolved? When should organisations outsource and when should they produce internally? Why do organisations arise in market economies? Tools from game theory, information economics and contract theory are introduced and applied to analyse these (and other) questions.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5324,Term 1 2019,"Main Campus, Kensington",0,1,"Economic research using laboratory and field experiments has discovered seemingly robust behavioural deviations from the model of homo oeconomicus, the rational, egoistic decision maker assumed in “standard” economic theory. In this course, we explore critically the challenges these behavioural regularities pose for economic theory, and will study behavioural economic models of decision-making which aim to incorporate and predict real-world economic behaviour. Specifically we review prospect theory (and its key component loss aversion), and theories of reference-dependent preferences, as well as related topics such as endowment effects, the sunk cost/Concorde fallacy, action inertia, mental accounting, risk and time preferences, self command/self-regulation, cognitive illusions such as over-confidence, and simple heuristics that make us smart.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5330,Term 2 2019,"Main Campus, Kensington",0,1,"The real estate sector represents a substantial share of the economy. This course provides an economic perspective on markets and policy related to the real estate sector. We will discuss the theory of urban land and housing markets, the spatial development of cities, interregional competition, economic development, and the migration of labour and capital. We will also look at economic policy issues, such as the roles played by transportation systems and local governments in shaping urban location patterns, and the effects of macroeconomic policy in the context of the interrelationship between property and business cycles. The course will provide an historical and international context for these issues, including for example the major property boom and bust from 1996-2004 (for Sydney), and the latest housing boom. Students of this course will acquire a comprehensive understanding of the economic factors and policies which influence real estate markets.",Prerequisite:COMM5005 AND ECON5103,6 Units of Credit
ECON5402,Term 1 2019,"Main Campus, Kensington",0,1,"Mathematical tools are an important part of theoretical economic analysis. This course gives students a working knowledge of static and dynamic optimisation techniques applied in economics. Topics include classical optimisation with and without constraints, comparative statics, non-linear programming, differential equations, and optimal control. Knowing these tools will equip students to solve complex economic models. All mathematical techniques are illustrated with mainstream theoretical applications such as consumer theory and the neoclassical theory of optimal growth.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5403,Term 3 2019,"Main Campus, Kensington",0,1,"The course provides unifying methods for estimation, inference and computation for a variety of single and multiple equation econometric models and gives some theoretical justification for the methods. The course emphasises the links between the theory for econometric models, the computations required for inference, and the application of the models to real examples. Being equipped with this knowledge will enable students to conduct a very broad range of relatively sophisticated econometric modelling tasks.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5408,"Term 1 2019, Term 3 2019","Main Campus, Kensington",0,1,"This course extends econometric modelling using linear regression to cover nonlinear models such as logit and probit, regression methods for forecasting, and an introduction to the treatment of endogeneity (e.g. instrumental variable estimation). Special emphasis will be placed on the process and potential pitfalls of conducting and evaluating applied econometric research. The course will equip students with the necessary knowledge to be able to conduct their own econometric research using typical economic data.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
ECON5409,Term 1 2019,"Main Campus, Kensington",0,1,"This course provides the foundations for undertaking modern econometric methods including statistical distribution theory, asymptotic theory, mathematical methods and an introduction to statistical computing including bootstrap and simulation methods. Mastering this course will give students a deeper understanding of the statistical underpinnings of methods and knowledge acquired in other econometrics courses. Throughout the course, material will be presented in the context of simple models in order to concentrate on the concepts.",Prerequisite: Enrolment in program 7412 or approval from the Head of School of Economics,6 Units of Credit
