Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
LAND2122,Term 2 2019,"Main Campus, Kensington",1,0,"This course is a survey of the history of gardens and designed landscapes from Ancient Greece through to the twentieth century. The course engages students in a critical analysis of cultural landscapes through the investigation of philosophical, aesthetic and social aspects of landscape architecture and garden art in the Eastern and Western traditions.",Prerequisite: LAND2121,6 Units of Credit
LAND2142,Term 2 2019,"Main Campus, Kensington",1,0,"This course encourages students to develop a personal vocabulary of landscape representation techniques to facilitate the development and communication of design ideas.  Students develop a range of communication techniques including 3D visualisation (perspective sketches, montages, 3D and terrain modeling), colour rendering, and the use of digital media generally.  The course introduces Computer Aided Design in 2D and 3D.  The integration of these outputs will be explored across the digital suite.  The course builds on and links with the physical media skills learned in LAND1141 to develop a high level of spatial and graphic thinking.",Pre-requisite: LAND1141,6 Units of Credit
LAND2151,Term 1 2019,"Main Campus, Kensington",1,0,"This course focuses on the observation and interpretation of the environment with a particular emphasis on the interrelationship between geology, climate, soils, hydrology, flora, fauna and humans.  Concepts of ecology, sustainability, biodiversity, habitat fragmentation, and landscape ecology are introduced.  Students review the fundamental characteristics of a range of regional ecosystems, and analyse human modification of the environment.  Through a range of assessment tasks, students record and analyse the landscape using inventory, survey, mapping, reporting and presentation techniques associated with the practice of landscape architecture.  The course involves several excursions to local sites.  Students are asked to contribute to the cost of these excursions.",No Prerequisites,6 Units of Credit
LAND2152,Term 3 2019,"Main Campus, Kensington",1,0,"This course builds on the knowledge of plants introduced in LAND2151 Landscape Analysis and focuses on the aesthetic and cultural aspects of plants in site-specific design contexts. The course introduces basic botanical terminology and taxonomic classification, along with plant structure, form and function to reinforce identification and understanding of their potential application in planting design. Principles of planting design are explored through the study of historic and contemporary landscape architectural designs. The course involves several excursions to local sites, and students are asked to contribute to the cost of these excursions.",Prerequisite: LAND2151,6 Units of Credit
LAND2201,Term 1 2019,"Main Campus, Kensington",1,0,"This studio concentrates on two major themes in landscape architecture - landform and planting.  Landform consideration includes investigation into the relationship between topography and natural systems, constructed environments and ecological sustainability.  Design projects involve the manipulation of landform to achieve a range of functions for a real site.  The planting component of this studio builds on plant knowledge and use from previous courses.  Students apply this knowledge to the planting design of a real site, together with consideration of the relationship between landform and plants.  Specific projects may include water sensitive urban design, constructed wetlands, historic perspectives on the use of plants, land art, or the design of transport or recreation precincts.  An integral part of the course is the presentation of a sketch book that demonstrates a wide range of graphic and design skills, and includes examples of design precedents.",Prerequisite: LAND2152 and LAND2102,6 Units of Credit
LAND2202,Term 2 2019,"Main Campus, Kensington",1,0,"This studio focuses on design resolution and documentation of one project. The project requires consideration of people / place issues, environmental considerations and use of precedents. The design phase includes preparation of design options to express each student's appraisal of the site and client brief and to demonstrate evaluation of priorities. Verbal and graphic presentation of the design process and final design resolution to a jury concludes the design phase. The documentation phase requires each student to prepare a set of working drawing documents, using CAD, to describe all or selected parts of their design. The expected standard of documentation is to the industry standard of communication of the technical components of the design's construction to a landscape contractor.","Prerequisite: LAND2201, LAND2271",6 Units of Credit
LAND2251,Term 1 2019,"Main Campus, Kensington",1,0,"This course builds on the knowledge of plant communities introduced in LAND2151 Landscape Analysis and focuses on plants as components of urban ecological landscape patterns at the landscape and metropolitan scales. It examines the role of plants in various situations, for example, in landscape remediation and regeneration, planning for climate change resilience, serving as 'green infrastructure', and protecting riparian and wetland areas. The course involves an excursion to a local site, and students are asked to contribute to the cost of this excursion.",No Prerequisites,6 Units of Credit
LAND2271,Term 1 2019,"Main Campus, Kensington",1,0,"This course introduces students to the principles of documenting landscape projects for construction.  Topics covered include material selection, standard construction practices, introduction to relevant Australian Standards, grading, earthwork calculations, drainage design, detailing and sustainable design and construction practices.",Pre-requisite: LAND2102,6 Units of Credit
LAND2272,Term 2 2019,"Main Campus, Kensington",1,0,"This course focuses on understanding and applying the structural design and construction techniques for a range of difficult site problems, such as earthworks, drainage, constructed wetlands retaining and free standing walls, pavements, roads and structures. Assessment is based on critical analysis of structural design, and the design, documentation and detailing of a range of materials, elements and structures. All students are required to have completed their Industry Work Experience requirements to satisfactorily complete the course.",Prerequisite: LAND2271,6 Units of Credit
LAND2311,Term 1 2019,"Main Campus, Kensington",1,0,"Students extend their design and analysis abilities by preparing master plans for medium scale sites.  Design proposals are developed as responses to site qualities and a program of uses, with a particular emphasis on the spatial, social and ecological systems of the landscape.  Students learn to integrate ecological, social and aesthetic considerations as part of the design process and are introduced to the application of design for sustainability.  There is an emphasis on developing, testing and communicating design concepts and extending presentation skills",No Prerequisites,6 Units of Credit
